game_id,date,home,away,home_score,away_score,spread_home,total
401856997,2026-06-18,CHI,NYL,95.0,96.0,10.0,169.5
401857002,2026-06-18,IND,ATL,101.0,108.0,1.5,173.5
401857000,2026-06-18,PHO,LVA,76.0,86.0,6.5,172.0
401857001,2026-06-18,PDX,SEA,94.0,89.0,-4.0,162.5
401857003,2026-06-19,CON,TOR,97.0,101.0,-2.0,168.5
401857004,2026-06-19,NYL,WAS,83.0,86.0,-12.5,168.5
401857005,2026-06-20,GSV,MIN,75.0,81.0,2.5,166.0
401857006,2026-06-20,ATL,IND,113.0,96.0,-5.0,176.5
401857007,2026-06-20,PHO,SEA,93.0,73.0,-6.5,163.0
401857010,2026-06-21,MIN,WAS,79.0,84.0,-14.5,169.5
401857008,2026-06-21,DAL,CHI,93.0,92.0,-10.0,174.0
401857009,2026-06-21,LVA,GSV,92.0,73.0,-3.5,167.5
401857013,2026-06-22,ATL,TOR,94.0,87.0,-15.5,178.5
401857011,2026-06-22,LAS,NYL,98.0,97.0,6.0,181.5
401857012,2026-06-22,CON,CHI,92.0,63.0,3.5,169.5
401857014,2026-06-23,IND,PHO,86.0,77.0,-8.0,178.0
401857015,2026-06-23,SEA,DAL,110.0,112.0,10.0,170.5
401857017,2026-06-24,IND,PHO,109.0,111.0,-8.5,177.5
401857016,2026-06-24,LVA,NYL,76.0,87.0,-3.0,178.5
401857018,2026-06-24,WAS,MIN,76.0,78.0,8.5,169.5
401857019,2026-06-25,CHI,PDX,101.0,78.0,-4.0,171.5
401857020,2026-06-25,GSV,ATL,77.0,66.0,2.0,163.5
401857021,2026-06-25,TOR,LAS,125.0,97.0,1.0,180.5
401857023,2026-06-26,SEA,NYL,99.0,88.0,9.0,167.0
401857024,2026-06-26,CON,WAS,68.0,57.0,3.0,164.5
401857022,2026-06-26,LVA,DAL,99.0,84.0,-6.0,179.5
401857025,2026-06-26,CHI,PDX,124.0,94.0,-6.5,173.5
401857026,2026-06-27,GSV,ATL,78.0,75.0,,
401857027,2026-06-27,TOR,PHO,80.0,89.0,-5.5,179.0
401857033,2026-06-28,GSV,NYL,76.0,67.0,-1.0,164.0
401857031,2026-06-28,WAS,PDX,124.0,123.0,-7.0,168.0
401857032,2026-06-28,CHI,LVA,99.0,107.0,7.5,181.0
401857028,2026-06-28,IND,LAS,111.0,87.0,-7.0,182.0
401857029,2026-06-28,SEA,ATL,105.0,90.0,9.5,169.0
401857030,2026-06-28,DAL,MIN,77.0,85.0,3.5,178.5
401857321,2026-06-30,NYL,LVA,93.0,85.0,-7.0,174.0
401857034,2026-07-02,WAS,ATL,81.0,76.0,9.0,167.0
401857037,2026-07-03,NYL,MIN,99.0,86.0,3.0,174.5
401857035,2026-07-03,CON,DAL,83.0,86.0,7.0,172.0
401857036,2026-07-03,PHO,SEA,90.0,67.0,-4.5,170.0
401857038,2026-07-04,LVA,CHI,98.0,90.0,-4.0,179.5
401857039,2026-07-04,ATL,GSV,83.0,88.0,-5.0,163.0
401857040,2026-07-05,SEA,PDX,72.0,77.0,-4.5,173.5
401857042,2026-07-05,LVA,IND,68.0,84.0,-2.5,180.0
401857041,2026-07-05,TOR,DAL,76.0,89.0,6.5,185.5
401857043,2026-07-06,WAS,GSV,49.0,62.0,7.5,155.5
401857044,2026-07-07,MIN,CON,89.0,90.0,-11.5,165.5
401857045,2026-07-07,LAS,SEA,64.0,82.0,-4.0,177.0
401857046,2026-07-08,NYL,DAL,77.0,88.0,-4.5,175.5
401857047,2026-07-08,PHO,CHI,66.0,77.0,-4.0,176.0
401857048,2026-07-08,TOR,GSV,75.0,83.0,8.5,165.0
401857049,2026-07-08,CON,MIN,80.0,86.0,7.5,166.0
401857050,2026-07-09,LAS,IND,106.0,92.0,6.0,182.5
401857052,2026-07-10,PHO,IND,89.0,92.0,1.5,171.5
401857053,2026-07-10,PDX,LVA,80.0,88.0,9.5,175.5
401857051,2026-07-10,ATL,SEA,89.0,78.0,-13.0,170.5
401857054,2026-07-10,CON,GSV,64.0,79.0,6.0,153.0
401857055,2026-07-10,TOR,DAL,95.0,108.0,8.5,179.5
401857056,2026-07-11,LAS,CHI,102.0,87.0,-1.0,177.5
401857057,2026-07-11,MIN,NYL,90.0,85.0,-5.0,173.5
401857059,2026-07-11,ATL,PDX,92.0,102.0,-12.5,175.0
401857058,2026-07-11,LVA,PHO,106.0,58.0,-8.5,168.5
401857062,2026-07-12,DAL,CHI,96.0,91.0,-10.0,178.0
401857060,2026-07-12,TOR,NYL,93.0,91.0,7.0,179.0
401857061,2026-07-12,WAS,SEA,84.0,79.0,-6.0,162.5
401857063,2026-07-13,LVA,IND,75.0,109.0,-6.0,180.5
401857064,2026-07-13,ATL,LAS,101.0,92.0,-10.5,181.5
401857067,2026-07-14,TOR,WAS,62.0,79.0,1.5,171.0
401857065,2026-07-14,MIN,PHO,104.0,100.0,-10.5,170.0
401857066,2026-07-14,CON,PDX,90.0,87.0,-2.5,167.5
401857068,2026-07-15,CHI,SEA,95.0,90.0,-3.0,170.0
401857069,2026-07-15,MIN,LAS,96.0,87.0,-10.5,181.5
401857070,2026-07-15,IND,GSV,75.0,88.0,-2.5,165.5
401857071,2026-07-16,WAS,PDX,56.0,75.0,-7.0,162.5
401857072,2026-07-16,DAL,NYL,,,,
401857075,2026-07-17,CHI,LAS,96.0,82.0,-2.0,182.5
401857073,2026-07-17,IND,SEA,110.0,107.0,-8.5,177.5
401857074,2026-07-17,TOR,ATL,92.0,111.0,10.5,181.0
401857076,2026-07-17,PHO,CON,83.0,96.0,-4.0,163.5
401857078,2026-07-18,MIN,PDX,101.0,93.0,-13.0,174.0
401857079,2026-07-18,GSV,WAS,74.0,69.0,-8.5,148.5
401857077,2026-07-18,IND,NYL,108.0,88.0,1.0,185.5
401857081,2026-07-19,ATL,CHI,93.0,91.0,-12.5,180.0
401857082,2026-07-19,PHO,CON,72.0,63.0,-4.5,165.5
401857080,2026-07-19,DAL,LAS,90.0,82.0,-7.5,183.5
401892393,2026-07-20,DAL,NYL,98.0,99.0,4.5,175.0
401857084,2026-07-20,GSV,WAS,82.0,90.0,-8.5,147.5
401857083,2026-07-20,TOR,LVA,83.0,109.0,10.5,181.5
401857085,2026-07-20,SEA,MIN,102.0,105.0,9.0,175.5
